asset_id,guidex,guidey
CA06_06L,408,274
CA06_06M,308,193
CA06_06S,241,187
CA06_07L,405,273
CA06_07M,252,193
CA06_07S,208,186
CA06_08L,408,274
CA06_08M,308,193
CA06_08S,241,187
CA06_09L,405,273
CA06_09M,252,193
CA06_09S,208,186
CA06_10L,408,274
CA06_10M,308,193
CA06_10S,241,187
CA06_11L,405,273
CA06_11M,252,193
CA06_11S,208,186
CA06_12L,408,274
CA06_12M,308,193
CA06_12S,241,187
CA06_13L,408,274
CA06_13M,308,193
CA06_13S,241,187
CA07_01L,408,274
CA07_01M,308,193
CA07_01S,241,187
CA07_02L,408,274
CA07_02M,308,193
CA07_02S,241,187
CA07_03L,408,274
CA07_03M,308,193
CA07_03S,241,187
CA07_04L,405,273
CA07_04M,252,193
CA07_04S,208,186
CA07_05L,405,273
CA07_05M,252,193
CA07_05S,208,186
CA07_06L,408,274
CA07_06M,308,193
CA07_06S,241,187
CA07_07L,405,273
CA07_07M,252,193
CA07_07S,208,186
CA07_08L,408,274
CA07_08M,308,193
CA07_08S,241,187
CA07_09L,405,273
CA07_09M,252,193
CA07_09S,208,186
CA07_10L,408,274
CA07_10M,308,193
CA07_10S,241,187
CA07_11L,405,273
CA07_11M,252,193
CA07_11S,208,186
CA07_12L,408,274
CA07_12M,308,193
CA07_12S,241,187
CA07_13L,408,274
CA07_13M,308,193
CA07_13S,241,187
CA10_01L,78,100
CA10_02L,78,100
CB01_01L,380,347
CB01_01M,212,260
CB01_01S,164,243
CB01_02L,420,352
CB01_02M,244,264
CB01_02S,189,245
CB01_03L,420,352
CB01_03M,244,264
CB01_03S,189,245
CB01_04L,420,352
CB01_04M,244,264
CB01_04S,189,245
CB01_05L,380,347
CB01_05M,212,260
CB01_05S,164,243
CB01_06L,380,347
CB01_06M,212,260
CB01_06S,164,243
CB01_07L,380,347
CB01_07M,212,260
CB01_07S,164,243
CB01_08L,380,347
CB01_08M,212,260
CB01_08S,164,243
CB01_09L,380,347
CB01_09M,212,260
CB01_09S,164,243
CB01_10L,380,347
CB01_10M,212,260
CB01_10S,164,243
CB01_11L,380,347
CB01_11M,212,260
CB01_11S,164,243
CB01_12L,380,347
CB01_12M,212,260
CB01_12S,164,243
CB01_13L,420,352
CB01_13M,244,264
CB01_13S,189,245
CB02_01L,380,347
CB02_01M,212,260
CB02_01S,164,243
CB02_02L,420,352
CB02_02M,244,264
CB02_02S,189,245
CB02_03L,420,352
CB02_03M,244,264
CB02_03S,189,245
CB02_04L,420,352
CB02_04M,244,264
CB02_04S,189,245
CB02_05L,380,347
CB02_05M,212,260
CB02_05S,164,243
CB02_06L,380,347
CB02_06M,212,260
CB02_06S,164,243
CB02_07L,380,347
CB02_07M,212,260
CB02_07S,164,243
CB02_08L,380,347
CB02_08M,212,260
CB02_08S,164,243
CB02_09L,380,347
CB02_09M,212,260
CB02_09S,164,243
CB02_10L,380,347
CB02_10M,212,260
CB02_10S,164,243
CB02_11L,380,347
CB02_11M,212,260
CB02_11S,164,243
CB02_12L,380,347
CB02_12M,212,260
CB02_12S,164,243
CB02_13L,420,352
CB02_13M,244,264
CB02_13S,189,245
CB03_01L,380,347
CB03_01M,212,260
CB03_01S,164,243
CB03_02L,420,352
CB03_02M,244,264
CB03_02S,189,245
CB03_03L,420,352
CB03_03M,244,264
CB03_03S,189,245
CB03_04L,420,352
CB03_04M,244,264
CB03_04S,189,245
CB03_05L,380,347
CB03_05M,212,260
CB03_05S,164,243
CB03_06L,380,347
CB03_06M,212,260
CB03_06S,164,243
CB03_07L,380,347
CB03_07M,212,260
CB03_07S,164,243
CB03_08L,380,347
CB03_08M,212,260
CB03_08S,164,243
CB03_09L,380,347
CB03_09M,212,260
CB03_09S,164,243
CB03_10L,380,347
CB03_10M,212,260
CB03_10S,164,243
CB03_11L,380,347
CB03_11M,212,260
CB03_11S,164,243
CB03_12L,380,347
CB03_12M,212,260
CB03_12S,164,243
CB03_13L,420,352
CB03_13M,244,264
CB03_13S,189,245
CB04_01L,380,347
CB04_01M,212,260
CB04_01S,164,243
CB04_02L,420,352
CB04_02M,244,264
CB04_02S,189,245
CB04_03L,420,352
CB04_03M,244,264
CB04_03S,189,245
CB04_04L,420,352
CB04_04M,244,264
CB04_04S,189,245
CB04_05L,380,347
CB04_05M,212,260
CB04_05S,164,243
CB04_06L,380,347
CB04_06M,212,260
CB04_06S,164,243
CB04_07L,380,347
CB04_07M,212,260
CB04_07S,164,243
CB04_08L,380,347
CB04_08M,212,260
CB04_08S,164,243
CB04_09L,380,347
CB04_09M,212,260
CB04_09S,164,243
CB04_10L,380,347
CB04_10M,212,260
CB04_10S,164,243
CB04_11L,380,347
CB04_11M,212,260
CB04_11S,164,243
CB04_12L,380,347
CB04_12M,212,260
CB04_12S,164,243
CB04_13L,420,352
CB04_13M,244,264
CB04_13S,189,245
CB06_01L,380,347
CB06_01M,212,260
CB06_01S,164,243
CB06_02L,420,352
CB06_02M,244,264
CB06_02S,189,245
CB06_03L,420,352
CB06_03M,244,264
CB06_03S,189,245
CB06_04L,420,352
CB06_04M,244,264
CB06_04S,189,245
CB06_05L,380,347
CB06_05M,212,260
CB06_05S,164,243
CB06_06L,380,347
CB06_06M,212,260
CB06_06S,164,243
CB06_07L,380,347
CB06_07M,212,260
CB06_07S,164,243
CB06_08L,380,347
CB06_08M,212,260
CB06_08S,164,243
CB06_09L,380,347
CB06_09M,212,260
CB06_09S,164,243
CB06_10L,380,347
CB06_10M,212,260
CB06_10S,164,243
CB06_11L,380,347
CB06_11M,212,260
CB06_11S,164,243
CB06_12L,380,347
CB06_12M,212,260
CB06_12S,164,243
CB06_13L,420,352
CB06_13M,244,264
CB06_13S,189,245
CB07_01L,380,347
CB07_01M,212,260
CB07_01S,164,243
CB07_02L,420,352
CB07_02M,244,264
CB07_02S,189,245
CB07_03L,420,352
CB07_03M,244,264
CB07_03S,189,245
CB07_04L,420,352
CB07_04M,244,264
CB07_04S,189,245
CB07_05L,380,347
CB07_05M,212,260
CB07_05S,164,243
CB07_06L,380,347
CB07_06M,212,260
CB07_06S,164,243
CB07_07L,380,347
CB07_07M,212,260
CB07_07S,164,243
CB07_08L,380,347
CB07_08M,212,260
CB07_08S,164,243
CB07_09L,380,347
CB07_09M,212,260
CB07_09S,164,243
CB07_10L,380,347
CB07_10M,212,260
CB07_10S,164,243
CB07_11L,380,347
CB07_11M,212,260
CB07_11S,164,243
CB07_12L,380,347
CB07_12M,212,260
CB07_12S,164,243
CB07_13L,420,352
CB07_13M,244,264
CB07_13S,189,245
CB10_01L,101,140
CB10_02L,101,140
CB10_03L,101,140
CC01_01L,290,372
CC01_01M,288,355
CC01_01S,227,302
CC01_02L,290,372
CC01_02M,288,355
CC01_02S,227,302
CC01_03L,290,372
CC01_03M,288,355
CC01_03S,227,302
CC01_04L,290,372
CC01_04M,288,355
CC01_04S,227,302
CC01_05L,318,284
CC01_05M,233,212
CC01_05S,174,192
CC01_06L,318,284
CC01_06M,233,212
CC01_06S,174,192
CC01_07L,318,284
CC01_07M,233,212
CC01_07S,174,192
CC01_08L,318,284
CC01_08M,233,212
CC01_08S,174,192
CC01_09L,290,372
CC01_09M,288,355
CC01_09S,227,302
CC01_10L,290,372
CC01_10M,288,355
CC01_10S,227,302
CC01_11L,318,284
CC01_11M,233,212
CC01_11S,174,192
CC01_12L,290,372
CC01_12M,288,355
CC01_12S,227,302
CC01_13L,290,372
CC01_13M,288,355
CC01_13S,227,302
CC01_14L,318,284
CC01_14M,233,212
CC01_14S,174,192
CC02_01L,290,372
CC02_01M,288,355
CC02_01S,227,302
CC02_02L,290,372
CC02_02M,288,355
CC02_02S,227,302
CC02_03L,290,372
CC02_03M,288,355
CC02_03S,227,302
CC02_04L,290,372
CC02_04M,288,355
CC02_04S,227,302
CC02_05L,318,284
CC02_05M,233,212
CC02_05S,174,192
CC02_06L,318,284
CC02_06M,233,212
CC02_06S,174,192
CC02_07L,318,284
CC02_07M,233,212
CC02_07S,174,192
CC02_08L,318,284
CC02_08M,233,212
CC02_08S,174,192
CC02_09L,290,372
CC02_09M,288,355
CC02_09S,227,302
CC02_10L,290,372
CC02_10M,288,355
CC02_10S,227,302
CC02_11L,318,284
CC02_11M,233,212
CC02_11S,174,192
CC02_12L,290,372
CC02_12M,288,355
CC02_12S,227,302
CC02_13L,290,372
CC02_13M,288,355
CC02_13S,227,302
CC02_14L,318,284
CC02_14M,233,212
CC02_14S,174,192
CC03_01L,553,372
CC03_01M,580,355
CC03_01S,474,302
CC03_02L,553,372
CC03_02M,580,355
CC03_02S,474,302
CC03_03L,553,372
CC03_03M,580,355
CC03_03S,474,302
CC03_04L,553,372
CC03_04M,580,355
CC03_04S,474,302
CC03_05L,342,284
CC03_05M,524,212
CC03_05S,364,192
CC03_06L,342,284
CC03_06M,524,212
CC03_06S,364,192
CC03_07L,342,284
CC03_07M,524,212
CC03_07S,364,192
CC03_08L,342,284
CC03_08M,524,212
CC03_08S,364,192
CC03_09L,553,372
CC03_09M,580,355
CC03_09S,474,302
CC03_10L,553,372
CC03_10M,580,355
CC03_10S,474,302
CC03_11L,342,284
CC03_11M,524,212
CC03_11S,364,192
CC03_12L,553,372
CC03_12M,580,355
CC03_12S,474,302
CC03_13L,553,372
CC03_13M,580,355
CC03_13S,474,302
CC03_14L,342,284
CC03_14M,524,212
CC03_14S,364,192
CC04_01L,290,372
CC04_01M,288,355
CC04_01S,227,302
CC04_02L,290,372
CC04_02M,288,355
CC04_02S,227,302
CC04_03L,290,372
CC04_03M,288,355
CC04_03S,227,302
CC04_04L,290,372
CC04_04M,288,355
CC04_04S,227,302
CC04_05L,318,284
CC04_05M,233,212
CC04_05S,174,192
CC04_06L,318,284
CC04_06M,233,212
CC04_06S,174,192
CC04_07L,318,284
CC04_07M,233,212
CC04_07S,174,192
CC04_08L,318,284
CC04_08M,233,212
CC04_08S,174,192
CC04_09L,290,372
CC04_09M,288,355
CC04_09S,227,302
CC04_10L,290,372
CC04_10M,288,355
CC04_10S,227,302
CC04_11L,318,284
CC04_11M,233,212
CC04_11S,174,192
CC04_12L,290,372
CC04_12M,288,355
CC04_12S,227,302
CC04_13L,290,372
CC04_13M,288,355
CC04_13S,227,302
CC04_14L,318,284
CC04_14M,233,212
CC04_14S,174,192
CC05_01L,290,372
CC05_01M,288,355
CC05_01S,227,302
CC05_02L,290,372
CC05_02M,288,355
CC05_02S,227,302
CC05_03L,290,372
CC05_03M,288,355
CC05_03S,227,302
CC05_04L,290,372
CC05_04M,288,355
CC05_04S,227,302
CC05_05L,318,284
CC05_05M,233,212
CC05_05S,174,192
CC05_06L,318,284
CC05_06M,233,212
CC05_06S,174,192
CC05_07L,318,284
CC05_07M,233,212
CC05_07S,174,192
CC05_08L,318,284
CC05_08M,233,212
CC05_08S,174,192
CC05_09L,290,372
CC05_09M,288,355
CC05_09S,227,302
CC05_10L,290,372
CC05_10M,288,355
CC05_10S,227,302
CC05_11L,318,284
CC05_11M,233,212
CC05_11S,174,192
CC05_12L,290,372
CC05_12M,288,355
CC05_12S,227,302
CC05_13L,290,372
CC05_13M,288,355
CC05_13S,227,302
CC05_14L,318,284
CC05_14M,233,212
CC05_14S,174,192
CC06_01L,328,372
CC06_01M,288,355
CC06_01S,227,302
CC06_02L,328,372
CC06_02M,288,355
CC06_02S,227,302
CC06_03L,328,372
CC06_03M,288,355
CC06_03S,227,302
CC06_04L,328,372
CC06_04M,288,355
CC06_04S,227,302
CC06_05L,342,284
CC06_05M,241,212
CC06_05S,190,192
CC06_06L,342,284
CC06_06M,241,212
CC06_06S,190,192
CC06_07L,342,284
CC06_07M,241,212
CC06_07S,190,192
CC06_08L,342,284
CC06_08M,241,212
CC06_08S,190,192
CC06_09L,328,372
CC06_09M,288,355
CC06_09S,227,302
CC06_10L,328,372
CC06_10M,288,355
CC06_10S,227,302
CC06_11L,342,284
CC06_11M,241,212
CC06_11S,190,192
CC06_12L,328,372
CC06_12M,288,355
CC06_12S,227,302
CC06_13L,328,372
CC06_13M,288,355
CC06_13S,227,302
CC06_14L,342,284
CC06_14M,241,212
CC06_14S,190,192
CC07_01L,290,372
CC07_01M,288,355
CC07_01S,227,302
CC07_02L,290,372
CC07_02M,288,355
CC07_02S,227,302
CC07_03L,290,372
CC07_03M,288,355
CC07_03S,227,302
CC07_04L,290,372
CC07_04M,288,355
CC07_04S,227,302
CC07_05L,318,284
CC07_05M,233,212
CC07_05S,174,192
CC07_06L,318,284
CC07_06M,233,212
CC07_06S,174,192
CC07_07L,318,284
CC07_07M,233,212
CC07_07S,174,192
CC07_08L,318,284
CC07_08M,233,212
CC07_08S,174,192
CC07_09L,290,372
CC07_09M,288,355
CC07_09S,227,302
CC07_10L,290,372
CC07_10M,288,355
CC07_10S,227,302
CC07_11L,318,284
CC07_11M,233,212
CC07_11S,174,192
CC07_12L,290,372
CC07_12M,288,355
CC07_12S,227,302
CC07_13L,290,372
CC07_13M,288,355
CC07_13S,227,302
CC07_14L,318,284
CC07_14M,233,212
CC07_14S,174,192
CC08_01L,290,372
CC08_01M,288,355
CC08_01S,227,302
CC08_02L,290,372
CC08_02M,288,355
CC08_02S,227,302
CC08_03L,290,372
CC08_03M,288,355
CC08_03S,227,302
CC08_04L,290,372
CC08_04M,288,355
CC08_04S,227,302
CC08_05L,318,284
CC08_05M,233,212
CC08_05S,174,192
CC08_06L,318,284
CC08_06M,233,212
CC08_06S,174,192
CC08_07L,318,284
CC08_07M,233,212
CC08_07S,174,192
CC08_08L,318,284
CC08_08M,233,212
CC08_08S,174,192
CC08_09L,290,372
CC08_09M,288,355
CC08_09S,227,302
CC08_10L,290,372
CC08_10M,288,355
CC08_10S,227,302
CC08_11L,318,284
CC08_11M,233,212
CC08_11S,174,192
CC08_12L,290,372
CC08_12M,288,355
CC08_12S,227,302
CC08_13L,290,372
CC08_13M,288,355
CC08_13S,227,302
CC08_14L,318,284
CC08_14M,233,212
CC08_14S,174,192
CC10_01L,65,109
CC10_02L,65,109
CC10_03L,65,109
CD01_01L,484,347
CD01_01M,282,256
CD01_01S,217,244
CD01_02L,326,344
CD01_02M,190,256
CD01_02S,167,243
CD01_03L,326,344
CD01_03M,190,256
CD01_03S,167,243
CD01_04L,484,347
CD01_04M,282,256
CD01_04S,217,244
CD01_05L,326,344
CD01_05M,190,256
CD01_05S,167,243
CD01_06L,484,347
CD01_06M,282,256
CD01_06S,217,244
CD01_07L,326,344
CD01_07M,190,256
CD01_07S,167,243
CD01_08L,484,347
CD01_08M,282,256
CD01_08S,217,244
CD01_09L,326,344
CD01_09M,190,256
CD01_09S,167,243
CD01_10L,484,347
CD01_10M,282,256
CD01_10S,217,244
CD01_11L,326,344
CD01_11M,190,256
CD01_11S,167,243
CD01_12L,484,347
CD01_12M,282,256
CD01_12S,217,244
CD01_13L,484,347
CD01_13M,282,256
CD01_13S,217,244
CD02_01L,484,347
CD02_01M,282,256
CD02_01S,217,244
CD02_02L,326,344
CD02_02M,190,256
CD02_02S,167,243
CD02_03L,326,344
CD02_03M,190,256
CD02_03S,167,243
CD02_04L,484,347
CD02_04M,282,256
CD02_04S,217,244
CD02_05L,326,344
CD02_05M,190,256
CD02_05S,167,243
CD02_06L,484,347
CD02_06M,282,256
CD02_06S,217,244
CD02_07L,326,344
CD02_07M,190,256
CD02_07S,167,243
CD02_08L,484,347
CD02_08M,282,256
CD02_08S,217,244
CD02_09L,326,344
CD02_09M,190,256
CD02_09S,167,243
CD02_10L,484,347
CD02_10M,282,256
CD02_10S,217,244
CD02_11L,326,344
CD02_11M,190,256
CD02_11S,167,243
CD02_12L,484,347
CD02_12M,282,256
CD02_12S,217,244
CD02_13L,484,347
CD02_13M,282,256
CD02_13S,217,244
CD03_01L,484,347
CD03_01M,282,256
CD03_01S,217,244
CD03_02L,326,344
CD03_02M,190,256
CD03_02S,167,243
CD03_03L,326,344
CD03_03M,190,256
CD03_03S,167,243
CD03_04L,484,347
CD03_04M,282,256
CD03_04S,217,244
CD03_05L,326,344
CD03_05M,190,256
CD03_05S,167,243
CD03_06L,484,347
CD03_06M,282,256
CD03_06S,217,244
CD03_07L,326,344
CD03_07M,190,256
CD03_07S,167,243
CD03_08L,484,347
CD03_08M,282,256
CD03_08S,217,244
CD03_09L,326,344
CD03_09M,190,256
CD03_09S,167,243
CD03_10L,484,347
CD03_10M,282,256
CD03_10S,217,244
CD03_11L,326,344
CD03_11M,190,256
CD03_11S,167,243
CD03_12L,484,347
CD03_12M,282,256
CD03_12S,217,244
CD03_13L,484,347
CD03_13M,282,256
CD03_13S,217,244
CD04_01L,484,347
CD04_01M,282,256
CD04_01S,217,244
CD04_02L,326,344
CD04_02M,190,256
CD04_02S,167,243
CD04_03L,326,344
CD04_03M,190,256
CD04_03S,167,243
CD04_04L,484,347
CD04_04M,282,256
CD04_04S,217,244
CD04_05L,326,344
CD04_05M,190,256
CD04_05S,167,243
CD04_06L,484,347
CD04_06M,282,256
CD04_06S,217,244
CD04_07L,326,344
CD04_07M,190,256
CD04_07S,167,243
CD04_08L,484,347
CD04_08M,282,256
CD04_08S,217,244
CD04_09L,326,344
CD04_09M,190,256
CD04_09S,167,243
CD04_10L,484,347
CD04_10M,282,256
CD04_10S,217,244
CD04_11L,326,344
CD04_11M,190,256
CD04_11S,167,243
CD04_12L,484,347
CD04_12M,282,256
CD04_12S,217,244
CD04_13L,484,347
CD04_13M,282,256
CD04_13S,217,244
CD05_01L,484,347
CD05_01M,282,256
CD05_01S,217,244
CD05_02L,326,344
CD05_02M,190,256
CD05_02S,167,243
CD05_03L,326,344
CD05_03M,190,256
CD05_03S,167,243
CD05_04L,484,347
CD05_04M,282,256
CD05_04S,217,244
CD05_05L,326,344
CD05_05M,190,256
CD05_05S,167,243
CD05_06L,484,347
CD05_06M,282,256
CD05_06S,217,244
CD05_07L,326,344
CD05_07M,190,256
CD05_07S,167,243
CD05_08L,484,347
CD05_08M,282,256
CD05_08S,217,244
CD05_09L,326,344
CD05_09M,190,256
CD05_09S,167,243
CD05_10L,484,347
CD05_10M,282,256
CD05_10S,217,244
CD05_11L,326,344
CD05_11M,190,256
CD05_11S,167,243
CD05_12L,484,347
CD05_12M,282,256
CD05_12S,217,244
CD05_13L,484,347
CD05_13M,282,256
CD05_13S,217,244
CD06_01L,484,347
CD06_01M,282,256
CD06_01S,217,244
CD06_02L,326,344
CD06_02M,190,256
CD06_02S,167,243
CD06_03L,326,344
CD06_03M,190,256
CD06_03S,167,243
CD06_04L,484,347
CD06_04M,282,256
CD06_04S,217,244
CD06_05L,326,344
CD06_05M,190,256
CD06_05S,167,243
CD06_06L,484,347
CD06_06M,282,256
CD06_06S,217,244
CD06_07L,326,344
CD06_07M,190,256
CD06_07S,167,243
CD06_08L,484,347
CD06_08M,282,256
CD06_08S,217,244
CD06_09L,326,344
CD06_09M,190,256
CD06_09S,167,243
CD06_10L,484,347
CD06_10M,282,256
CD06_10S,217,244
CD06_11L,326,344
CD06_11M,190,256
CD06_11S,167,243
CD06_12L,484,347
CD06_12M,282,256
CD06_12S,217,244
CD06_13L,484,347
CD06_13M,282,256
CD06_13S,217,244
CD07_01L,484,347
CD07_01M,282,256
CD07_01S,217,244
CD07_02L,326,344
CD07_02M,190,256
CD07_02S,167,243
CD07_03L,326,344
CD07_03M,190,256
CD07_03S,167,243
CD07_04L,484,347
CD07_04M,282,256
CD07_04S,217,244
CD07_05L,326,344
CD07_05M,190,256
CD07_05S,167,243
CD07_06L,484,347
CD07_06M,282,256
CD07_06S,217,244
CD07_07L,326,344
CD07_07M,190,256
CD07_07S,167,243
CD07_08L,484,347
CD07_08M,282,256
CD07_08S,217,244
CD07_09L,326,344
CD07_09M,190,256
CD07_09S,167,243
CD07_10L,484,347
CD07_10M,282,256
CD07_10S,217,244
CD07_11L,326,344
CD07_11M,190,256
CD07_11S,167,243
CD07_12L,484,347
CD07_12M,282,256
CD07_12S,217,244
CD07_13L,484,347
CD07_13M,282,256
CD07_13S,217,244
CD10_01L,86,94
CD10_02L,86,94
CE01_01L,307,372
CE01_01M,192,274
CE01_01S,208,247
CE01_02L,259,363
CE01_02M,217,269
CE01_02S,210,246
CE01_03L,307,372
CE01_03M,192,274
CE01_03S,208,247
CE01_04L,259,363
CE01_04M,217,269
CE01_04S,210,246
CE01_05L,307,372
CE01_05M,192,274
CE01_05S,208,247
CE01_06L,307,372
CE01_06M,192,274
CE01_06S,208,247
CE01_07L,259,363
CE01_07M,217,269
CE01_07S,210,246
CE01_08L,307,372
CE01_08M,192,274
CE01_08S,208,247
CE01_09L,307,372
CE01_09M,192,274
CE01_09S,208,247
CE01_10L,259,363
CE01_10M,217,269
CE01_10S,210,246
CE01_11L,259,363
CE01_11M,217,269
CE01_11S,210,246
CE01_12L,307,372
CE01_12M,192,274
CE01_12S,208,247
CE02_01L,307,372
CE02_01M,192,274
CE02_01S,208,247
CE02_02L,259,363
CE02_02M,217,269
CE02_02S,210,246
CE02_03L,307,372
CE02_03M,192,274
CE02_03S,208,247
CE02_04L,259,363
CE02_04M,217,269
CE02_04S,210,246
CE02_05L,307,372
CE02_05M,192,274
CE02_05S,208,247
CE02_06L,307,372
CE02_06M,192,274
CE02_06S,208,247
CE02_07L,259,363
CE02_07M,217,269
CE02_07S,210,246
CE02_08L,307,372
CE02_08M,192,274
CE02_08S,208,247
CE02_09L,307,372
CE02_09M,192,274
CE02_09S,208,247
CE02_10L,259,363
CE02_10M,217,269
CE02_10S,210,246
CE02_11L,259,363
CE02_11M,217,269
CE02_11S,210,246
CE02_12L,307,372
CE02_12M,192,274
CE02_12S,208,247
CE03_01L,307,372
CE03_01M,192,274
CE03_01S,208,247
CE03_02L,259,363
CE03_02M,217,269
CE03_02S,210,246
CE03_03L,307,372
CE03_03M,192,274
CE03_03S,208,247
CE03_04L,259,363
CE03_04M,217,269
CE03_04S,210,246
CE03_05L,307,372
CE03_05M,192,274
CE03_05S,208,247
CE03_06L,307,372
CE03_06M,192,274
CE03_06S,208,247
CE03_07L,259,363
CE03_07M,217,269
CE03_07S,210,246
CE03_08L,307,372
CE03_08M,192,274
CE03_08S,208,247
CE03_09L,307,372
CE03_09M,192,274
CE03_09S,208,247
CE03_10L,259,363
CE03_10M,217,269
CE03_10S,210,246
CE03_11L,259,363
CE03_11M,217,269
CE03_11S,210,246
CE03_12L,307,372
CE03_12M,192,274
CE03_12S,208,247
CE04_01L,307,372
CE04_01M,192,274
CE04_01S,208,247
CE04_02L,259,363
CE04_02M,217,269
CE04_02S,210,246
CE04_03L,307,372
CE04_03M,192,274
CE04_03S,208,247
CE04_04L,259,363
CE04_04M,217,269
CE04_04S,210,246
CE04_05L,307,372
CE04_05M,192,274
CE04_05S,208,247
CE04_06L,307,372
CE04_06M,192,274
CE04_06S,208,247
CE04_07L,259,363
CE04_07M,217,269
CE04_07S,210,246
CE04_08L,307,372
CE04_08M,192,274
CE04_08S,208,247
CE04_09L,307,372
CE04_09M,192,274
CE04_09S,208,247
CE04_10L,259,363
CE04_10M,217,269
CE04_10S,210,246
CE04_11L,259,363
CE04_11M,217,269
CE04_11S,210,246
CE04_12L,307,372
CE04_12M,192,274
CE04_12S,208,247
